"","Місто","Кімнат","Загальна_площа","Ціна"
"1016","Хмельницький",2,"60",512500
"1017","Хмельницький",3,"65",4e+05
"1018","Хмельницький",3,"80",1125000
"1019","Хмельницький",1,"51",3e+05
"1023","Хмельницький",2,"63",472500
"1025","Хмельницький",2,"80",3e+05
"1026","Хмельницький",2,"50,1",475000
"1027","Хмельницький",3,"73",6e+05
"1028","Хмельницький",1,"43,5",5e+05
"1029","Хмельницький",1,"54,28",333800
"1030","Хмельницький",3,"89",625000
"1031","Хмельницький",4,"130",750000
"1032","Хмельницький",2,"71",575000
"1033","Хмельницький",2,"65",550000
"1034","Хмельницький",1,"47",525000
"1035","Хмельницький",3,"93",9e+05
"1037","Хмельницький",2,"50",5e+05
"1038","Хмельницький",3,"78",675000
"1039","Хмельницький",3,"105",887500
"1040","Хмельницький",3,"94",9e+05
"1041","Хмельницький",3,"105",950000
"1042","Хмельницький",2,"70",8e+05
"1043","Хмельницький",3,"89",625000
"1044","Хмельницький",3,"70",637500
"1045","Хмельницький",3,"112,56",10500
"1046","Хмельницький",3,"93",9e+05
"1047","Хмельницький",2,"66",950000
"1048","Хмельницький",2,"80",1125000
"1049","Хмельницький",1,"37",387500
"1051","Хмельницький",1,"50",375000
"1052","Хмельницький",1,"43",337500
"1053","Хмельницький",1,"36",220000
"1054","Хмельницький",1,"42",264600
"1055","Хмельницький",1,"42",575000
"1056","Хмельницький",3,"72",925000
"1060","Хмельницький",1,"41",275000
"1061","Хмельницький",1,"35,58",212500
"1062","Хмельницький",1,"52",330000
"1065","Хмельницький",1,"41",325000
"1066","Хмельницький",1,"47",375000
"1067","Хмельницький",2,"53",387500
"1068","Хмельницький",2,"60",522500
